fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
39099,330.25,24.61749756658215,258.0,373.0,115.0,58.69999999999999,15.983333333333333,0.8761084253178091,5,1.92
39101,291.18333333333334,12.624286073677847,268.0,327.0,59.0,28.30000000000001,4.133333333333334,0.2146806060641009,2,0.07
39103,317.93333333333334,32.17898391263648,258.0,374.0,116.0,86.30000000000001,16.433333333333334,0.9505558762563722,4,0.37
39105,231.61666666666667,30.77148783008121,176.0,286.0,110.0,83.19999999999999,27.683333333333337,1.2979770267913011,2,0.68
39107,270.73333333333335,15.91595156201142,243.0,310.0,67.0,41.19999999999999,4.933333333333334,0.2615081570783672,2,2.12
39109,290.5833333333333,18.507251594494548,234.0,344.0,110.0,38.39999999999998,9.733333333333333,0.4143452836553883,4,0.53
39111,316.81666666666666,48.01570776413064,188.0,390.0,202.0,111.3,33.63333333333333,1.8742241675477411,18,0.42
39113,277.76666666666665,26.549197483269616,218.0,324.0,106.0,72.4,12.066666666666666,0.6418182607485472,4,0.58
39115,274.26666666666665,28.5507972322818,198.0,320.0,122.0,72.1,27.166666666666668,1.4817917081644871,18,0.99
39117,362.25,41.52337507917802,292.0,435.0,143.0,111.2,14.583333333333334,0.752378340433107,4,0.45
39119,277.01666666666665,29.939765330119055,218.0,334.0,116.0,79.39999999999998,25.883333333333333,0.966277144387618,18,1.18
39121,298.31666666666666,25.08189411566396,249.0,357.0,108.0,65.20000000000005,29.433333333333337,1.7114081510132582,18,1.38
39123,174.11666666666667,3.9449245085972273,169.0,189.0,20.0,8.0,1.4833333333333334,0.0503600228514524,1,58.88
39125,222.13333333333333,4.236510663136594,215.0,235.0,20.0,11.0,1.5,0.1693185634323833,1,0.63
39127,288.9,19.189244869042344,241.0,330.0,89.0,47.19999999999999,16.483333333333334,1.05308979253001,18,0.63
39129,236.25,21.22488545815653,200.0,285.0,85.0,51.099999999999994,8.383333333333333,0.442186867140468,4,0.93
39131,264.3,47.60690022625441,180.0,377.0,197.0,115.39999999999998,32.766666666666666,2.355727917603606,19,0.55
39133,335.21666666666664,24.28509458925453,283.0,384.0,101.0,64.19999999999999,14.85,0.8174821528856461,4,2.9
39135,317.7,23.694596394644176,262.0,362.0,100.0,62.5,8.95,0.4202162752336573,4,0.36
39137,225.7,4.74180827983501,216.0,237.0,21.0,12.099999999999994,2.4,0.1410682965031518,1,0.07
39139,362.68333333333334,32.14189497259579,313.0,445.0,132.0,88.60000000000002,15.766666666666667,0.6403028698559966,5,0.66
39141,250.86666666666667,40.1862050142375,177.0,350.0,173.0,104.39999999999998,30.416666666666668,1.5760365438041573,18,0.66
39143,198.55,15.389215902757844,174.0,237.0,63.0,42.099999999999994,3.7666666666666666,0.2030309374665496,1,2.06
